zip,longitude,latitude,station_count
98001,-122.24228972857144,47.299333378571426,7
98002,-122.21690702222223,47.3046883,9
98003,-122.31117428571429,47.31688575,14
98004,-122.19676786207383,47.61509956597338,169
98005,-122.1743807915493,47.6182438971831,71
98006,-122.16454639285713,47.576267587857146,14
98007,-122.14224774666667,47.59987588,15
98008,-122.12519483999999,47.61261646,5
98011,-122.19141064444446,47.76031624444445,18
98012,-122.18463718275001,47.85162094375,4
98020,-122.37311273478976,47.80511123128485,9
98021,-122.198294425,47.793964125,4
98022,-121.726292,47.068422999999996,2
98023,-122.381656,47.2971285,1
98024,-121.836634,47.542153,1
98026,-122.33752132062317,47.80672914820781,8
98027,-122.054694965,47.542127975,20
98028,-122.25184536666666,47.7504529,3
98029,-122.02219326666666,47.54610703333333,12
98030,-122.1972024,47.376068,5
98031,-122.199383,47.40851466666667,3
98032,-122.24570906478743,47.39940354608149,8
98033,-122.19927361578948,47.66368297894737,19
98034,-122.18591273577316,47.70993299535161,19
98036,-122.28927414,47.81451774,10
98037,-122.27243987361538,47.83555501469231,13
98040,-122.22810375,47.587736075,8
98042,-122.11098710000002,47.3463198,5
98043,-122.30416149999999,47.795511250000004,4
98045,-121.78992875,47.49348895,2
98052,-122.1195890813845,47.6705042748218,32
98053,-122.025976837,47.645190854,1
98055,-122.2130066,47.4441271,10
98056,-122.18802892500001,47.49500835133333,12
98057,-122.22416091419048,47.47032341514286,21
98058,-122.166307125,47.450550075,4
98059,-122.16103903333334,47.51260593333333,3
98065,-121.92175866666666,47.53656316666667,6
98068,-121.409789,47.4121105,2
98070,-122.45955599999999,47.44608100000001,2
98072,-122.14768986666667,47.76541866,15
98074,-122.035471375,47.610640375,4
98075,-122.03694314285714,47.59872307142857,7
98087,-122.2829225,47.864119,2
98092,-122.18725548677,47.28477919478,2
98101,-122.33510877674239,47.61097874088898,57
98102,-122.32397504726006,47.63145121512509,14
98103,-122.34719555121815,47.67015973822254,14
98104,-122.32997032104097,47.603687522614294,47
98105,-122.30955837002612,47.658984267486886,22
98106,-122.35352906788613,47.54353711050935,7
98107,-122.3769409,47.66613567272727,11
98108,-122.31615439816011,47.536669959435635,11
98109,-122.33937173724628,47.6199303807273,127
98110,-122.5172605125,47.6347603,8
98112,-122.30282453333332,47.6276996,3
98114,-122.18514325000001,47.612687,4
98115,-122.3025746137143,47.689035903,7
98116,-122.38488766666667,47.568459,3
98117,-122.38375643333335,47.688398756666665,6
98118,-122.2847364,47.528736442857145,7
98119,-122.35891686283138,47.623162058652134,48
98121,-122.34031853464566,47.61646777007874,127
98122,-122.31729650623201,47.61407627557092,14
98124,-122.330278,47.604906,1
98125,-122.31628284375,47.71148660625,16
98126,-122.3743051,47.5451619,2
98133,-122.34902775714285,47.73141687857143,14
98134,-122.33130900979553,47.58815756413517,22
98136,-122.39415866666667,47.52316866666666,3
98144,-122.31085030059255,47.59380715589514,9
98146,-122.34112,47.502354,1
98148,-122.3313695,47.452571500000005,2
98154,-122.333812,47.606162,2
98155,-122.30509653333333,47.7507827,3
98164,-122.33208461538462,47.60612807692308,13
98166,-122.33934379166668,47.4692595,12
98168,-122.29668250000002,47.478696333333325,3
98177,-122.37546,47.769184,1
98178,-122.2493,47.4902,1
98188,-122.27408442981579,47.4480205235,38
98191,-122.3344034,47.6132353,1
98195,-122.3065960976152,47.65096598790808,5
98198,-122.29884025555556,47.41022063333334,9
98199,-122.39138165,47.657940554999996,2
98201,-122.20205334545454,47.96717742727273,11
98203,-122.21681656073558,47.94428567430137,9
98204,-122.24816563406142,47.9025400145507,8
98207,-122.37006133333334,48.109477999999996,3
98208,-122.21757433333333,47.90327416666667,6
98221,-122.61201114,48.51162199333333,15
98223,-122.14942045454545,48.177287772727276,11
98225,-122.48221709473685,48.74496862631579,19
98226,-122.49394932553334,48.78763596866667,15
98229,-122.46624100000001,48.74526816666667,6
98230,-122.74180925,48.97833425,4
98232,-122.347134,48.559758,1
98233,-122.3383458,48.4630198,10
98237,-121.758653,48.537035,1
98239,-122.68961949999999,48.219575000000006,2
98240,-122.64552,48.92653,1
98241,-121.601383,48.251621,1
98245,-122.90566073247147,48.69675044399929,4
98247,-122.281001,48.89416,1
98248,-122.5895254,48.8529235,1
98249,-122.534798,48.010539,1
98250,-123.05931294777282,48.54728811855475,11
98252,-121.9687524018275,48.0814785763422,2
98253,-122.574574,48.106661,1
98257,-122.4937805,48.391532999999995,2
98258,-122.08304100000001,48.006427,2
98260,-122.40887980000001,48.04021326666666,3
98261,-122.89419878813935,48.497721880535885,3
98264,-122.455243,48.942575,1
98267,-121.32594866666666,48.62395266666667,1
98270,-122.1783885,48.05265,2
98271,-122.18661771428572,48.10241814285714,14
98272,-121.97611166666667,47.864587,3
98273,-122.32675293558025,48.42908894545703,16
98274,-122.32547,48.42017,1
98275,-122.29563446666667,47.914871166666664,3
98277,-122.65300583333334,48.287415,3
98278,-122.674995,48.343208,1
98279,-122.781015,48.641279,1
98282,-122.4555,48.240444,1
98283,-121.25308899999999,48.673483,2
98284,-122.227559,48.510997,1
98288,-121.18023833333332,47.73473366666667,3
98290,-122.104881678,47.930571603,5
98292,-122.3291167,48.2325756,1
98294,-121.81659,47.86215,1
98296,-122.1185745,47.826776499999994,2
98304,-122.01335566666667,46.755705666666664,3
98310,-122.6300123,47.59737615,2
98311,-122.63235955,47.6206697,2
98312,-122.67194950000001,47.5609149,5
98314,-122.63682899999999,47.55478333333334,3
98315,-122.68282122222223,47.61589755555556,9
98325,-122.62018,48.3705815,2
98327,-122.63751333333335,47.09286436666667,3
98330,-122.19425150000001,46.7650235,2
98331,-124.391877182698,47.9043713859181,12
98332,-122.590314,47.339342,1
98335,-122.58828821428571,47.3587377,7
98337,-122.63250332857142,47.5640455,7
98339,-122.6957,48.0553,1
98345,-122.624811,47.70224,1
98346,-122.54105141666666,47.822676333333334,3
98356,-122.91871833333335,46.76879466666667,3
98357,-124.66077385014533,48.335793569150134,3
98358,-122.695343,48.054272,1
98361,-121.66950800000001,46.60990700000001,2
98362,-123.38296519052574,48.113454601447,15
98363,-123.714246,48.0426784,3
98366,-122.602014375,47.5143395,4
98367,-122.6522417515,47.4994714595,2
98368,-122.80126113319717,48.08542634601992,11
98370,-122.64656958606062,47.74592993469653,10
98371,-122.29992375,47.201775625,8
98372,-122.28240475,47.188320000000004,4
98373,-122.3115642145,47.1427842135,4
